Name
Ertem Egilmez
Akira Kurosawa
Alfred Hitchcock
Ingmar Bergman
Steven Spielberg
Billy Wilder
Christopher Nolan
Stanley Kubrick
Martin Scorsese
William Wyler
Yasujirô Ozu
Charles Chaplin
Quentin Tarantino
Hayao Miyazaki
Francis Ford Coppola
Mani Ratnam
Peter Jackson
Sergio Leone
Luis Buñuel
David Fincher
Howard Hawks
Fritz Lang
Sidney Lumet
Frank Capra
Masaki Kobayashi
George Cukor
John Ford
David Lean
Jean-Luc Godard
Andrei Tarkovsky
Elia Kazan
Woody Allen
Buster Keaton
Federico Fellini
Satyajit Ray
Leonid Gayday
Michael Curtiz
Clint Eastwood
Hrishikesh Mukherjee
John Huston
Mervyn LeRoy
Eldar Ryazanov
Mario Monicelli
King Vidor
Ethan Coen
Slobodan Sijan
Ernst Lubitsch
Ridley Scott
Sam Wood
Luchino Visconti
Yimou Zhang
Kenji Mizoguchi
Frank Darabont
Richard Linklater
Robert Zemeckis
Emir Kusturica
Orson Welles
Raoul Walsh
Roman Polanski
Anurag Kashyap
Jean-Pierre Melville
James Cameron
François Truffaut
Milos Forman
Michael Powell
Georgiy Daneliya
Vishal Bhardwaj
Vittorio De Sica
Atif Yilmaz
Joseph L. Mankiewicz
Zeki Ökten
William A. Wellman
F.W. Murnau
Asghar Farhadi
George Stevens
Giuseppe Tornatore
Jean Renoir
Leo McCarey
Yavuz Turgul
Fred Zinnemann
Preston Sturges
Moustapha Akkad
Rajkumar Hirani
Edmund Goulding
Nuri Bilge Ceylan
Robert Wise
Jean-Luc Godard
Krzysztof Kieslowski
Rob Reiner
Jonathan Demme
Emeric Pressburger
Robert Bresson
Srdjan Dragojevic
Terry Gilliam
Majid Majidi
Lee Unkrich
Rajkumar Santoshi
Rainer Werner Fassbinder
Louis Malle
Nikita Mikhalkov
John Cassavetes
Stanley Kramer
Béla Tarr
Yash Chopra
David Lynch
Victor Fleming
Werner Herzog
Ron Howard
Bryan Singer
Çagan Irmak
Ang Lee
Dusan Kovacevic
Cecil B. DeMille
Wim Wenders
Henri-Georges Clouzot
Jack Conway
Theodoros Angelopoulos
Roberto Rossellini
Michelangelo Antonioni
Otto Preminger
Robert Altman
Dariush Mehrjui
Ram Gopal Varma
Hideaki Anno
James Whale
Nae Caranfil
Richard Brooks
Kar-Wai Wong
Éric Rohmer
Darren Aronofsky
Carl Theodor Dreyer
Jules Dassin
Lucian Pintilie
Josef von Sternberg
Jean-Pierre Jeunet
Goran Markovic
Ashutosh Gowariker
John Frankenheimer
Andrzej Wajda
Stanley Donen
Lloyd Bacon
Kenji Misumi
Hirokazu Koreeda
Marcel Carné
Franklin J. Schaffner
Carol Reed
Abbas Kiarostami
Takeshi Kitano
Dragan Bjelogrlic
Tim Burton
W.S. Van Dyke
Pietro Germi
Brian De Palma
Ettore Scola
Wes Anderson
George Roy Hill
Zeki Demirkubuz
Guy Ritchie
Peter Bogdanovich
Chan-wook Park
Terry Jones
Andrew Stanton
Costa-Gavras
Sam Mendes
Michael Mann
Nesli Çölgeçen
Luis García Berlanga
Paul Greengrass
Robert Aldrich
Alfonso Cuarón
George Lucas
Roberto Benigni
Mamoru Oshii
Kaneto Shindô
John Woo
Luc Besson
George Roy Hill
Pedro Almodóvar
Alain Resnais
Danny Boyle
Victor Sjöström
Tomás Gutiérrez Alea
Lars von Trier
William Dieterle
D.W. Griffith
Lilly Wachowski
Farhan Akhtar
Nicholas Ray
Jacques Becker
Arthur Penn
Vladimir Menshov
Hiroshi Teshigahara
Claude Berri
Thomas Vinterberg
Jim Jarmusch
Kátia Lund
Max Ophüls
Irvin Kershner
Mike Leigh
Peter Weir
Lasse Hallström
Edward Sedgwick
John McTiernan
Paul Thomas Anderson
John Sturges
Wen Jiang
Henry King
Vishal Bhardwaj
Bozidar 'Bota' Nikolic
Isao Takahata
Fernando Meirelles
Shôhei Imamura
Sam Peckinpah
Oliver Stone
Tony Kaye
Orhan Aksoy
Shimit Amin
Yasuzô Masumura
Brad Bird
Alan Parker
Ken Loach
Aki Kaurismäki
Jirí Menzel
John Cromwell
Chang-dong Lee
Blake Edwards
Jim Sheridan
Ronald Neame
Hal Ashby
Sergei M. Eisenstein
Michael Haneke
Juan José Campanella
Erich von Stroheim
William Friedkin
Vincente Minnelli
Edward Zwick
Denis Villeneuve
Yoshishige Yoshida
Marco Tullio Giordana
Don Siegel
Goran Paskaljevic
Damián Szifrón
Shekhar Kapur
Ki-duk Kim
Spike Lee
Yôji Yamada
Fatih Akin
Serdar Akar
Edward Yang
Mikhail Kalatozov
