Name
Robert De Niro
Jack Nicholson
Tom Hanks
Marlon Brando
Leonardo DiCaprio
Humphrey Bogart
Johnny Depp
Al Pacino
Denzel Washington
Laurence Olivier
Brad Pitt
Daniel Day-Lewis
Tom Cruise
Cary Grant
Dustin Hoffman
Clark Gable
Sean Penn
Christian Bale
Gregory Peck
Harrison Ford
Spencer Tracy
George Clooney
Charlton Heston
Anthony Hopkins
Russell Crowe
Katharine Hepburn
Meryl Streep
Ingrid Bergman
Marilyn Monroe
Jennifer Lawrence
Kate Winslet
Elizabeth Taylor
Cate Blanchett
Audrey Hepburn
Helen Mirren
Bette Davis
Nicole Kidman
Sandra Bullock
Natalie Portman
Jodie Foster
Judi Dench
Amy Adams
Julia Roberts
Emma Thompson
Diane Keaton
Grace Kelly
Shirley MacLaine
Reese Witherspoon
Charlize Theron
Judy Garland
John Wayne
Sidney Poitier
Paul Newman
Matt Damon
Robert Duvall
James Dean
Kirk Douglas
Henry Fonda
Robin Williams
Orson Welles
Christoph Waltz
Heath Ledger
Sean Connery
Kevin Spacey
Gene Hackman
Liam Neeson
Edward Norton
Bruce Willis
Gary Cooper
Philip Seymour Hoffman
Robert Redford
Ralph Fiennes
Joaquin Phoenix
Will Smith
Steve McQueen
Vivien Leigh
Angelina Jolie
Anne Hathaway
Maggie Smith
Olivia de Havilland
Barbara Stanwyck
Joan Fontaine
Greer Garson
Faye Dunaway
Susan Hayward
Ellen Burstyn
Jane Wyman
Sophia Loren
Joan Crawford
Kathy Bates
Julie Andrews
Marion Cotillard
Deborah Kerr
Sissy Spacek
Susan Sarandon
Luise Rainer
Glenn Close
Doris Day
Natalie Wood
Jane Fonda
Jeff Bridges
Chiwetel Ejiofor
Ben Kingsley
Tommy Lee Jones
Samuel L. Jackson
Jack Lemmon
Joe Pesci
Christopher Plummer
George C. Scott
Morgan Freeman
Christopher Walken
John Travolta
James Stewart
Matthew McConaughey
Peter O'Toole
James Cagney
Ian McKellen
John Cusack
Bill Murray
Robert Downey Jr.
Nicolas Cage
Gene Wilder
Kevin Costner
Donald Sutherland
Bruce Dern
Ava Gardner
Jennifer Jones
Sally Field
Greta Garbo
Holly Hunter
Hilary Swank
Claudette Colbert
Diane Lane
Jessica Lange
Gloria Swanson
Lauren Bacall
Frances McDormand
Norma Shearer
Bette Midler
Mary Tyler Moore
Anna Magnani
Halle Berry
Sharon Stone
Kim Basinger
Glenda Jackson
Donna Reed
Geena Davis
Demi Moore
Michelle Pfeiffer
Liza Minnelli
Charles Chaplin
Peter Sellers
Woody Allen
Jon Voight
Mel Gibson
Jim Carrey
Mark Wahlberg
Steve Martin
Javier Bardem
Tim Robbins
Arnold Schwarzenegger
Sylvester Stallone
Viggo Mortensen
Hugo Weaving
Christopher Lee
Geoffrey Rush
Alec Guinness
Richard Burton
Alec Baldwin
James Caan
Michael Douglas
Ben Stiller
Willem Dafoe
Ed Harris
Harvey Keitel
Drew Barrymore
Winona Ryder
Kathleen Turner
Uma Thurman
Hattie McDaniel
Rene Russo
Annette Bening
Sigourney Weaver
Barbra Streisand
Raquel Welch
Joanne Woodward
Shirley Booth
Mercedes McCambridge
Anjelica Huston
Dianne Wiest
Goldie Hawn
Judy Davis
Claudia Cardinale
Gwyneth Paltrow
Julianne Moore
Debra Winger
Christina Ricci
Juliette Binoche
Daryl Hannah
Whoopi Goldberg
Benicio Del Toro
Kevin Bacon
Patrick Swayze
Michael Caine
Clint Eastwood
Burt Lancaster
Robert Mitchum
Colin Farrell
William Holden
Edward G. Robinson
William Powell
Errol Flynn
Groucho Marx
James Mason
Buster Keaton
